"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","1/214","61/8545",0.0163934426229508,0.654588631836985,-0.433900503225181,0.788315773747721,0.873795797407112,0.736494550827505,"115019",1
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","1/214","62/8545",0.0161290322580645,0.644030750678324,-0.450840095659048,0.793655286291095,0.876195436065369,0.738517129559293,"10000",1
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","3/214","170/8545",0.0176470588235294,0.704645409565695,-0.623397013269923,0.803792037132369,0.880500733373581,0.742145927061638,"9071/4478/5010",3
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","1/214","64/8545",0.015625,0.623904789719626,-0.484008732441629,0.803935452210661,0.880500733373581,0.742145927061638,"27350",1
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","1/214","65/8545",0.0153846153846154,0.61430625449317,-0.500253675022039,0.808882724139315,0.881907469513157,0.743331619993927,"1583",1
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","5/214","271/8545",0.018450184501845,0.736714142842363,-0.705900285123869,0.814620113233154,0.881907469513157,0.743331619993927,"6622/815/7345/2770/7318",5
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","2/214","122/8545",0.0163934426229508,0.654588631836985,-0.615845937961004,0.814805814224112,0.881907469513157,0.743331619993927,"1437/10000",2
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/214","73/8545",0.0136986301369863,0.546985021124056,-0.622974052065353,0.844238834235259,0.910194993159889,0.767174269597008,"2950",1
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","1/214","75/8545",0.0133333333333333,0.532398753894081,-0.651858789246994,0.852008857418348,0.911451335842883,0.76823320069137,"586",1
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","1/214","75/8545",0.0133333333333333,0.532398753894081,-0.651858789246994,0.852008857418348,0.911451335842883,0.76823320069137,"2882",1
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","2/214","138/8545",0.0144927536231884,0.578694297710958,-0.799659859006063,0.864915002490319,0.921685485279259,0.77685923816444,"80201/10000",2
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","2/214","142/8545",0.0140845070422535,0.562393049888114,-0.842752676719188,0.87534271699335,0.926168988598141,0.780638239817656,"7318/330",2
"Cellular Processes","Cell motility","hsa04814","Motor proteins","3/214","197/8545",0.0152284263959391,0.608069642772427,-0.891948409716932,0.875833717478677,0.926168988598141,0.780638239817656,"70/4648/22989",3
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","1/214","86/8545",0.0116279069767442,0.464301238861117,-0.800201377110888,0.888336412390689,0.935211133265265,0.788259574567595,"815",1
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","1/214","87/8545",0.0114942528735632,0.458964443012139,-0.812906382046367,0.891161333510016,0.935211133265265,0.788259574567595,"70",1
"Organismal Systems","Digestive system","hsa04976","Bile secretion","1/214","90/8545",0.0111111111111111,0.443665628245068,-0.850333483575552,0.899216341476117,0.940089811543213,0.792371656563883,"10257",1
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","1/214","97/8545",0.0103092783505155,0.411648521052125,-0.933973821095282,0.91577787211703,0.953791293223774,0.803920197568475,"146",1
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","1/214","106/8545",0.00943396226415094,0.376697231528831,-1.03489296411805,0.933151649517096,0.968232538596686,0.816092261746254,"1358",1
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","3/214","235/8545",0.0127659574468085,0.509743487770929,-1.2213657291646,0.937586494765602,0.969190533915004,0.816899725382212,"51703/5468/2182",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","1/214","116/8545",0.00862068965517241,0.344223332259104,-1.13968771669716,0.948301303508477,0.976608805105745,0.82315234907845,"80201",1
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","4/214","311/8545",0.0128617363344051,0.513567929801364,-1.40050899491232,0.955882559319676,0.980515200857208,0.826444925207639,"2882/6507/5468/7052",4
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","5/214","371/8545",0.0134770889487871,0.538138902184044,-1.45770606562378,0.959199653012486,0.980515200857208,0.826444925207639,"2882/2903/834/7133/2906",5
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","1/214","133/8545",0.0075187969924812,0.300224861218467,-1.3035378223511,0.966624133448231,0.981700757626698,0.82744419311785,"1520",1
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","1/214","134/8545",0.00746268656716418,0.297984377179523,-1.31269641478036,0.967473210414717,0.981700757626698,0.82744419311785,"1437",1
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","1/214","139/8545",0.00719424460431655,0.287265514691051,-1.35778003672197,0.971406703629636,0.982081502570621,0.827765110862346,"815",1
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","1/214","158/8545",0.00632911392405063,0.252720927481368,-1.51948697369942,0.982491711487927,0.989663183834554,0.834155467686638,"8900",1
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","1/214","169/8545",0.00591715976331361,0.236271636343527,-1.60713691671304,0.986826763921744,0.990415224881459,0.83478933904959,"10000",1
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","2/214","453/8545",0.00441501103752759,0.176290978110623,-2.88724691496277,0.999901013837275,0.999901013837275,0.842784607391448,"5137/815",2
